Marker	Cutpoint	FPR	TPR
mayoscore4	-Inf	1	1
mayoscore4	3.739683	1	1
mayoscore4	3.805526	0.9947	1
mayoscore4	3.858815	0.9947	0.992
mayoscore4	3.871076	0.9893	0.992
mayoscore4	3.907847	0.984	0.992
mayoscore4	3.968578	0.9786	0.992
mayoscore4	4.044457	0.9733	0.992
mayoscore4	4.054643	0.9679	0.992
mayoscore4	4.088147	0.9626	0.992
mayoscore4	4.183795	0.9572	0.992
mayoscore4	4.188587	0.9572	0.984
mayoscore4	4.199528	0.9519	0.984
mayoscore4	4.199825	0.9465	0.984
mayoscore4	4.274491	0.9412	0.984
mayoscore4	4.279572	0.9358	0.984
mayoscore4	4.298204	0.9305	0.984
mayoscore4	4.333196	0.9251	0.984
mayoscore4	4.350258	0.9251	0.976
mayoscore4	4.358501	0.9198	0.976
mayoscore4	4.415307	0.9144	0.976
mayoscore4	4.417621	0.9144	0.968
mayoscore4	4.424337	0.9091	0.968
mayoscore4	4.449613	0.9037	0.968
mayoscore4	4.452077	0.8984	0.968
mayoscore4	4.454766	0.893	0.968
mayoscore4	4.460475	0.8877	0.968
mayoscore4	4.463722	0.8824	0.968
mayoscore4	4.466428	0.877	0.968
mayoscore4	4.477684	0.8717	0.968
mayoscore4	4.477854	0.8663	0.968
mayoscore4	4.50288	0.861	0.968
mayoscore4	4.510457	0.8556	0.968
mayoscore4	4.54379	0.8503	0.968
mayoscore4	4.549713	0.8449	0.968
mayoscore4	4.563985	0.8449	0.96
mayoscore4	4.570431	0.8396	0.96
mayoscore4	4.585802	0.8342	0.96
mayoscore4	4.587556	0.8289	0.96
mayoscore4	4.603813	0.8235	0.96
mayoscore4	4.618374	0.8182	0.96
mayoscore4	4.625789	0.8182	0.952
mayoscore4	4.645611	0.8128	0.952
mayoscore4	4.665199	0.8075	0.952
mayoscore4	4.684394	0.8021	0.952
mayoscore4	4.69447	0.7968	0.952
mayoscore4	4.696182	0.7914	0.952
mayoscore4	4.709061	0.7861	0.952
mayoscore4	4.733497	0.7807	0.952
mayoscore4	4.747581	0.7754	0.952
mayoscore4	4.759425	0.7754	0.944
mayoscore4	4.76858	0.7701	0.944
mayoscore4	4.776789	0.7647	0.944
mayoscore4	4.787085	0.7594	0.944
mayoscore4	4.794544	0.7594	0.936
mayoscore4	4.800101	0.754	0.936
mayoscore4	4.809425	0.7487	0.936
mayoscore4	4.812744	0.7433	0.936
mayoscore4	4.815086	0.738	0.936
mayoscore4	4.820417	0.7326	0.936
mayoscore4	4.824621	0.7273	0.936
mayoscore4	4.838459	0.7219	0.936
mayoscore4	4.858091	0.7166	0.936
mayoscore4	4.873631	0.7112	0.936
mayoscore4	4.89614	0.7059	0.936
mayoscore4	4.905756	0.7005	0.936
mayoscore4	4.906405	0.6952	0.936
mayoscore4	4.921055	0.6898	0.936
mayoscore4	4.935087	0.6845	0.936
mayoscore4	4.939381	0.6791	0.936
mayoscore4	4.944269	0.6738	0.936
mayoscore4	4.955635	0.6684	0.936
mayoscore4	4.968767	0.6631	0.936
mayoscore4	4.973897	0.6578	0.936
mayoscore4	4.978389	0.6524	0.936
mayoscore4	4.98453	0.6524	0.928
mayoscore4	4.997769	0.6471	0.928
mayoscore4	5.013991	0.6417	0.928
mayoscore4	5.021219	0.6364	0.928
mayoscore4	5.024876	0.631	0.928
mayoscore4	5.035367	0.6257	0.928
mayoscore4	5.044443	0.6203	0.928
mayoscore4	5.048465	0.615	0.928
mayoscore4	5.04988	0.6096	0.928
mayoscore4	5.056494	0.6043	0.928
mayoscore4	5.057415	0.5989	0.928
mayoscore4	5.060709	0.5936	0.928
mayoscore4	5.079256	0.5936	0.92
mayoscore4	5.082702	0.5882	0.92
mayoscore4	5.088728	0.5829	0.92
mayoscore4	5.094656	0.5775	0.92
mayoscore4	5.122639	0.5722	0.92
mayoscore4	5.151403	0.5668	0.92
mayoscore4	5.152486	0.5615	0.92
mayoscore4	5.153733	0.5561	0.92
mayoscore4	5.15383	0.5508	0.92
mayoscore4	5.174509	0.5455	0.92
mayoscore4	5.179248	0.5401	0.92
mayoscore4	5.187298	0.5348	0.92
mayoscore4	5.192589	0.5294	0.92
mayoscore4	5.194262	0.5241	0.92
mayoscore4	5.198138	0.5187	0.92
mayoscore4	5.210559	0.5134	0.92
mayoscore4	5.211438	0.508	0.92
mayoscore4	5.217114	0.5027	0.92
mayoscore4	5.24089	0.4973	0.92
mayoscore4	5.24397	0.492	0.92
mayoscore4	5.244361	0.4866	0.92
mayoscore4	5.250274	0.4813	0.92
mayoscore4	5.253234	0.4759	0.92
mayoscore4	5.263053	0.4706	0.92
mayoscore4	5.276221	0.4706	0.912
mayoscore4	5.285402	0.4706	0.904
mayoscore4	5.291132	0.4706	0.896
mayoscore4	5.296983	0.4652	0.896
mayoscore4	5.301232	0.4599	0.896
mayoscore4	5.336512	0.4545	0.896
mayoscore4	5.338057	0.4492	0.896
mayoscore4	5.342585	0.4439	0.896
mayoscore4	5.345299	0.4385	0.896
mayoscore4	5.352469	0.4385	0.888
mayoscore4	5.374627	0.4385	0.88
mayoscore4	5.384844	0.4332	0.88
mayoscore4	5.38725	0.4278	0.88
mayoscore4	5.404054	0.4225	0.88
mayoscore4	5.405124	0.4171	0.88
mayoscore4	5.40977	0.4118	0.88
mayoscore4	5.419207	0.4064	0.88
mayoscore4	5.432451	0.4011	0.88
mayoscore4	5.446378	0.3957	0.88
mayoscore4	5.446907	0.3904	0.88
mayoscore4	5.48452	0.385	0.88
mayoscore4	5.492126	0.385	0.872
mayoscore4	5.500901	0.3797	0.872
mayoscore4	5.504943	0.3797	0.864
mayoscore4	5.53137	0.3797	0.856
mayoscore4	5.554536	0.3743	0.856
mayoscore4	5.595215	0.3743	0.848
mayoscore4	5.615564	0.3743	0.84
mayoscore4	5.617561	0.369	0.84
mayoscore4	5.625131	0.3636	0.84
mayoscore4	5.627429	0.3583	0.84
mayoscore4	5.63582	0.3529	0.84
mayoscore4	5.636356	0.3476	0.84
mayoscore4	5.64381	0.3422	0.84
mayoscore4	5.653431	0.3369	0.84
mayoscore4	5.667506	0.3316	0.84
mayoscore4	5.673584	0.3316	0.832
mayoscore4	5.6754	0.3262	0.832
mayoscore4	5.677492	0.3209	0.832
mayoscore4	5.692413	0.3155	0.832
mayoscore4	5.70563	0.3102	0.832
mayoscore4	5.716485	0.3102	0.824
mayoscore4	5.733207	0.3048	0.824
mayoscore4	5.734385	0.3048	0.816
mayoscore4	5.736311	0.2995	0.816
mayoscore4	5.737195	0.2941	0.816
mayoscore4	5.770881	0.2888	0.816
mayoscore4	5.785057	0.2834	0.816
