"status"	"marker1"	"marker2"
0	5,048465	5,784675
1	6,273571	7,177789
1	7,356552	6,963773
0	5,082702	6,066281
0	5,338057	6,660774
0	5,056494	5,968196
1	5,595215	6,203917
0	4,449613	4,580701
0	5,088728	6,653481
1	8,379493	7,492485
0	4,776789	5,59066
0	4,358501	5,345451
1	6,741037	6,873728
1	7,528126	7,405653
1	6,628106	6,475331
0	5,921876	6,943507
1	9,442583	9,033388
1	8,762995	7,719695
0	4,733497	4,931682
1	7,386987	7,100958
0	5,716485	4,983721
0	7,827573	6,996992
0	5,035367	5,743347
0	5,825965	5,712087
0	4,858091	5,393163
1	4,747581	5,605394
1	6,771754	6,921644
1	6,539139	6,153317
0	3,858815	5,311072
1	7,120498	7,60604
